Row Labels,Max of Federal Loan 3-Year Default Rate,Max of 2012 4-Year Grad Rate,Max of % Pell Recipients Among Freshmen,Max of Estimated Median SAT / ACT,Max of Average Student Loan (all sources),Max of Average Net Price After Grants,"Max of % Degrees Awarded in Science, Technology, Engineering, and Math",Max of % Admitted,Max of Average High School GPA Among College Freshmen
Westminster College,0.089,0.723,0.367,1125,7541,24044,0.236,0.705,3.5
Union College,0.132,0.759,0.59,1030,6493,32633,0.38,0.735,3.49
Wheaton College,0.055,0.773,0.279,1320,7250,28015,0.151,0.647,3.7
Northwestern College,0.035,0.529,0.376,1125,7158,22450,0.144,0.752,3.52
Augustana College,0.042,0.73,0.291,1165,9160,23548,0.253,0.797,3.66
Columbia College,0.116,0.346,0.691,1010,6404,16625,0.086,1,3.5
Emmanuel College,0.115,0.499,0.505,1075,8390,31292,0.126,0.557,3.5
Anderson University,0.09,0.461,0.348,1055,7432,22279,0.045,0.728,3.4
Aquinas College,0.087,0.496,0.385,1090,6458,20137,0.089,0.785,3.41
Bethel University,0.144,0.623,0.34,1145,8967,25892,0.113,0.823,3.5
Marian University,0.06,0.411,0.474,980,7007,19560,0.067,0.819,3.24
Bethany College,0.142,0.395,0.542,1030,7585,21033,0.165,0.597,3.26
Lincoln University,0.272,0.087,0.802,0,6700,14121,0.162,1,2.54
University of North Carolina at Chapel Hill,0.016,0.762,0.197,1305,5712,11092,0.171,0.339,4.5
North Carolina State University at Raleigh,0.036,0.393,0.224,1185,5565,11208,0.411,0.542,4.28
University of California-Los Angeles,0.031,0.709,0.315,1300,6145,14857,0.315,0.255,4.22
University of Miami,0.035,0.695,0.149,1315,7399,28656,0.246,0.383,4.2
University of Virginia-Main Campus,0.029,0.867,0.122,1350,7466,12672,0.275,0.333,4.19
Clemson University,0.031,0.572,0.17,1235,11808,16251,0.293,0.577,4.18
University of Chicago,0.024,0.862,0.113,1485,6116,31917,0.254,0.163,4.16
Scripps College,0.025,0.852,0.109,1365,4698,28823,0.167,0.363,4.1
Davidson College,0.023,0.889,0.119,1359,7096,26053,0.179,0.254,4.1
University of Maryland-College Park,0.042,0.632,0.147,1290,7104,14402,0.257,0.448,4.01
Virginia Polytechnic Institute and State University,0.027,0.588,0.154,1210,7369,17375,0.343,0.665,4
Franklin W. Olin College of Engineering,0,0.771,0.098,1477,5702,29149,1,0.164,4
College of William and Mary,0.011,0.826,0.088,1345,6337,13246,0.203,0.346,4
Harvard University,0.023,0.862,0.178,1490,5118,14445,0.289,0.063,4
Webb Institute,0,0.917,0,1420,6880,19600,1,0.37,4
University of North Carolina at Asheville,0.065,0.317,0.312,1165,5600,9768,0.188,0.774,3.99
New College of Florida,0.069,0.56,0.3,1310,3913,11710,0,0.562,3.98
Illinois Institute of Technology,0.034,0.376,0.375,1245,6408,19394,0.678,0.635,3.97
University of North Carolina Wilmington,0.054,0.491,0.222,1165,5808,11502,0.125,0.565,3.97
Elon University,0.016,0.772,0.106,1220,7630,29749,0.083,0.578,3.96
Appalachian State University,0.036,0.399,0.213,1130,5380,8874,0.083,0.677,3.94
University of California-San Diego,0.038,0.566,0.459,1270,5413,13408,0.423,0.379,3.94
University of Pittsburgh-Pittsburgh Campus,0.044,0.624,0.156,1270,9001,21641,0.263,0.578,3.94
Hendrix College,0.077,0.634,0.219,1320,6701,20803,0.285,0.825,3.94
Rose-Hulman Institute of Technology,0.032,0.658,0.182,1285,9502,34796,1,0.622,3.91
University of California-Santa Barbara,0.043,0.67,0.389,1205,6110,13144,0.18,0.455,3.91
University of California-Davis,0.041,0.52,0.421,1210,5460,14877,0.34,0.463,3.9
University of South Carolina-Columbia,0.038,0.53,0.199,1185,6698,16672,0.194,0.699,3.9
Reed College,0.037,0.598,0.156,1385,4393,19238,0.279,0.398,3.9
Kenyon College,0.015,0.869,0.071,1340,4365,31675,0.139,0.335,3.9
University of Pennsylvania,0.016,0.872,0.169,1440,5651,21821,0.241,0.124,3.9
Georgia Institute of Technology-Main Campus,0.033,0.336,0.17,1335,7068,9116,0.725,0.517,3.89
University of San Diego,0.039,0.647,0.152,1225,6826,33334,0.119,0.475,3.89
